team,seed,region,wins
Michigan,1,Midwest,6
UConn,2,East,5
Arizona,1,West,4
Illinois,3,South,4
Duke,1,East,3
Tennessee,6,Midwest,3
Purdue,2,West,3
Iowa,9,South,3
St. John's,5,East,2
Michigan State,3,East,2
Nebraska,4,South,2
Houston,2,South,2
Arkansas,4,West,2
Texas,11,West,3
Alabama,4,Midwest,2
Iowa State,2,Midwest,2
TCU,9,East,1
Kansas,4,East,1
Louisville,6,East,1
UCLA,7,East,1
Florida,1,South,1
Vanderbilt,5,South,1
VCU,11,South,1
Texas A&M,10,South,1
Utah State,9,West,1
High Point,12,West,1
Gonzaga,3,West,1
Miami (FL),7,West,1
Saint Louis,9,Midwest,1
Texas Tech,5,Midwest,1
Virginia,3,Midwest,1
Kentucky,7,Midwest,1
Siena,16,East,0
Ohio State,8,East,0
Northern Iowa,12,East,0
Cal Baptist,13,East,0
South Florida,11,East,0
North Dakota State,14,East,0
UCF,10,East,0
Furman,15,East,0
Prairie View A&M,16,South,0
Clemson,8,South,0
McNeese State,12,South,0
Troy,13,South,0
North Carolina,6,South,0
Penn,14,South,0
St. Mary's,7,South,0
Idaho,15,South,0
Long Island,16,West,0
Villanova,8,West,0
Wisconsin,5,West,0
Hawaii,13,West,0
BYU,6,West,0
Kennesaw State,14,West,0
Missouri,10,West,0
Queens,15,West,0
Howard,16,Midwest,0
Georgia,8,Midwest,0
Akron,12,Midwest,0
Hofstra,13,Midwest,0
Wright State,14,Midwest,0
Miami (OH),11,Midwest,0
Santa Clara,10,Midwest,0
Tennessee State,15,Midwest,0
UMBC,16,Midwest,0
Lehigh,16,South,0
NC State,11,West,0
SMU,11,Midwest,0
